"","id","year","wave","wave_letter","sex","age","ethnicity","country","region","rural","n_siblings","n_parents","misbehave","smoke_freq","drink_freq","social_media","online_hrs","has_sibling","n_friends","truant","sdq_conduct","sdq_emotion","sdq_hyperact","sdq_peers","sdq_prosocial","sdq_total","religion","health","has_partner","cannabis","drugs_other","mobile","disability","happiness_index","bullied_other_bin","bullied_phys_bin","bully_other_bin","bully_phys_bin","parent_index","sib_index","selfesteem_index","tvhrs_index","leisure_index"
"1",68037411,2010,1,"A",1,10,"British/English/Scottish/Welsh/Northern Irish","England","North East",1,0,1,5,NA,0,0,NA,0,7,0,0,4,3,1,10,8,"No religion",NA,NA,NA,NA,NA,NA,6.16666666666667,0,0,0,0,2.42857142857143,NA,NA,2,5
"2",68037411,2011,2,"B",1,11,"British/English/Scottish/Welsh/Northern Irish","England","North East",1,0,1,NA,NA,0,1,2,NA,10,0,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,NA,NA,6.16666666666667,NA,NA,NA,NA,4,NA,2.875,2,0.9375
"3",68037411,2012,3,"C",1,12,"British/English/Scottish/Welsh/Northern Irish","England","North East",1,0,1,4,NA,NA,1,3,1,NA,0,2,5,4,1,10,12,"No religion",NA,NA,NA,NA,1,NA,6,1,0,1,0,2.28571428571429,3.4,NA,2,NA
"4",68037411,2013,4,"D",1,13,"British/English/Scottish/Welsh/Northern Irish","England","North East",1,0,1,NA,NA,3,1,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,NA,NA,6,NA,NA,NA,NA,3,NA,2.875,1,1.25
"5",68037411,2014,5,"E",1,14,"British/English/Scottish/Welsh/Northern Irish","England","North East",1,0,1,4,NA,1,1,2,1,4,0,1,3,5,3,10,12,"No religion",NA,NA,NA,NA,1,NA,5,1,0,0,0,2.66666666666667,4,NA,1,NA
"6",68197215,2010,1,"A",1,11,"British/English/Scottish/Welsh/Northern Irish","England","North West",0,2,2,5,NA,1,0,NA,1,6,0,2,1,4,2,9,9,"Church of England/Anglican",NA,NA,NA,NA,NA,NA,5.83333333333333,0,0,0,0,2.57142857142857,3.5,NA,2,2
"7",68197215,2011,2,"B",1,12,"British/English/Scottish/Welsh/Northern Irish","England","North West",0,2,2,NA,NA,0,1,1,NA,6,0,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,NA,NA,5.16666666666667,NA,NA,NA,NA,2,NA,2.75,2.5,2
"8",68197215,2012,3,"C",1,13,"British/English/Scottish/Welsh/Northern Irish","England","North West",0,2,2,5,NA,0,1,2,1,11,0,1,2,3,2,10,8,"Church of England/Anglican",NA,NA,NA,NA,1,NA,5.66666666666667,0,0,0,0,3,3.625,NA,2,NA
"9",68197215,2013,4,"D",1,14,"British/English/Scottish/Welsh/Northern Irish","England","North West",0,2,2,NA,NA,0,1,2,NA,8,0,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,NA,NA,5.5,NA,NA,NA,NA,4,NA,3.25,2,2
"10",68197215,2014,5,"E",1,15,"British/English/Scottish/Welsh/Northern Irish","England","North West",0,2,2,5,NA,0,1,2,1,6,0,0,6,1,3,10,10,"Church of England/Anglican",NA,NA,NA,NA,1,NA,4.5,1,0,0,0,3.14285714285714,3.5,NA,2,NA
"11",68197903,2010,1,"A",0,11,"British/English/Scottish/Welsh/Northern Irish","England","North West",0,3,1,5,NA,0,0,NA,1,17,0,0,0,1,0,9,1,"No religion",NA,NA,NA,NA,NA,NA,7,0,0,0,0,2.83333333333333,3.875,NA,1,5
"12",68197903,2011,2,"B",0,12,"British/English/Scottish/Welsh/Northern Irish","England","North West",0,3,1,NA,NA,1,1,1,NA,14,0,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,NA,NA,6.66666666666667,NA,NA,NA,NA,3,NA,3.375,1.5,1.1875
"13",68197903,2012,3,"C",0,13,"British/English/Scottish/Welsh/Northern Irish","England","North West",0,3,1,5,NA,NA,1,0,1,NA,0,2,0,2,0,9,4,"No religion",NA,NA,NA,NA,1,NA,7,1,1,NA,0,3.28571428571429,3.875,NA,0,NA
"14",68197903,2013,4,"D",0,14,"British/English/Scottish/Welsh/Northern Irish","England","North West",0,3,1,NA,NA,3,1,2,NA,20,0,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,NA,NA,6.83333333333333,NA,NA,NA,NA,1,NA,3.5,0,0.9375
"15",68197903,2014,5,"E",0,15,"British/English/Scottish/Welsh/Northern Irish","England","North West",0,2,1,NA,NA,2,0,NA,1,30,0,1,0,2,2,8,5,"No religion",NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,1.66666666666667,4,NA,2,NA
"16",68228499,2010,1,"A",1,10,"British/English/Scottish/Welsh/Northern Irish","England","Yorkshire and the Humber",0,2,2,4,NA,0,0,NA,1,3,0,3,8,0,0,10,11,"No religion",NA,NA,NA,NA,NA,NA,6.66666666666667,0,0,0,0,2.57142857142857,3.375,NA,2,4
"17",68228499,2011,2,"B",1,11,"British/English/Scottish/Welsh/Northern Irish","England","Yorkshire and the Humber",0,2,2,NA,NA,0,1,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,5,1,0,0,NA,NA,6.5,NA,NA,NA,NA,4,NA,3.5,2,2.0625
"18",68228499,2012,3,"C",1,12,"British/English/Scottish/Welsh/Northern Irish","England","Yorkshire and the Humber",0,2,2,5,NA,NA,1,2,1,4,0,4,9,4,2,9,19,"No religion",NA,NA,NA,NA,1,NA,5.5,0,0,0,0,2.71428571428571,2.125,NA,3,NA
"19",68228499,2013,4,"D",1,13,"British/English/Scottish/Welsh/Northern Irish","England","Yorkshire and the Humber",0,2,2,NA,NA,0,1,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,NA,NA,5.66666666666667,NA,NA,NA,NA,2,NA,3,3,1.5
"20",68228499,2014,5,"E",1,14,"British/English/Scottish/Welsh/Northern Irish","England","Yorkshire and the Humber",0,2,2,5,NA,NA,1,1,1,5,0,3,7,4,2,9,16,"No religion",NA,NA,NA,NA,1,NA,2.83333333333333,0,0,0,0,3.14285714285714,3.125,NA,2,NA
"21",68367895,2010,1,"A",1,10,"Pakistani","England","East Midlands",0,2,2,5,NA,0,0,NA,1,1,1,0,1,1,3,10,5,"Muslim/Islam",NA,NA,NA,NA,NA,NA,6.33333333333333,0,0,0,0,3.14285714285714,3,NA,2,5
"22",68367895,2011,2,"B",1,11,"Pakistani","England","East Midlands",0,2,2,NA,NA,NA,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,NA,NA,7,NA,NA,NA,NA,4,NA,3.75,2,2
"23",68367895,2012,3,"C",1,12,"Pakistani","England","East Midlands",0,2,2,5,NA,0,1,0,1,1,0,0,2,0,0,9,2,"Muslim/Islam",NA,NA,NA,NA,0,NA,7,0,0,0,0,3.14285714285714,3.42857142857143,NA,1,NA
"24",68367895,2013,4,"D",1,13,"Pakistani","England","East Midlands",0,2,2,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,7,NA,NA,NA,NA,4,NA,3.75,1,1.1875
"25",68367895,2014,5,"E",1,14,"Pakistani","England","East Midlands",0,2,2,5,NA,NA,0,NA,1,1,0,0,2,2,1,7,5,"Muslim/Islam",NA,NA,NA,NA,1,NA,6.83333333333333,0,0,0,0,3.14285714285714,4,NA,1,NA
"26",68439295,2010,1,"A",0,10,"British/English/Scottish/Welsh/Northern Irish","England","East Midlands",0,1,2,4,NA,0,0,NA,1,1,0,2,1,4,3,7,10,"No religion",NA,NA,NA,NA,NA,NA,5.66666666666667,1,1,0,1,3,3,NA,2,3
"27",68439295,2011,2,"B",0,11,"British/English/Scottish/Welsh/Northern Irish","England","East Midlands",0,2,2,NA,NA,0,0,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,NA,NA,5.66666666666667,NA,NA,NA,NA,4,NA,3.125,2.5,1.75
"28",68439295,2012,3,"C",0,12,"British/English/Scottish/Welsh/Northern Irish","England","East Midlands",0,2,2,4,NA,NA,1,2,1,3,0,3,3,4,4,3,14,"No religion",NA,NA,NA,NA,1,NA,4.66666666666667,1,1,1,1,2.57142857142857,2.375,NA,2,NA
"29",68439295,2013,4,"D",0,13,"British/English/Scottish/Welsh/Northern Irish","England","East Midlands",0,2,2,NA,NA,0,1,3,NA,3,0,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,NA,NA,5,NA,NA,NA,NA,4,NA,2.625,2,1.6875
"30",68439295,2014,5,"E",0,14,"British/English/Scottish/Welsh/Northern Irish","England","East Midlands",0,2,2,3,1,0,1,3,1,3,NA,6,6,6,5,5,23,"No religion",NA,NA,NA,NA,1,NA,4.8,1,1,1,1,2.57142857142857,2.375,NA,2,NA
"31",68636495,2010,1,"A",0,10,"British/English/Scottish/Welsh/Northern Irish","England","South West",0,0,2,5,NA,0,1,0,0,30,0,0,0,0,1,10,1,"No religion",NA,NA,NA,NA,NA,NA,7,0,1,0,0,4,NA,NA,1,5
"32",68636495,2011,2,"B",0,11,"British/English/Scottish/Welsh/Northern Irish","England","South West",0,1,2,NA,NA,NA,1,2,NA,3,0,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,NA,NA,6,NA,NA,NA,NA,2,NA,3,2,0.875
"33",68636495,2012,3,"C",0,12,"British/English/Scottish/Welsh/Northern Irish","England","South West",0,1,2,4,NA,1,1,2,1,20,0,1,1,4,3,10,9,"No religion",NA,NA,NA,NA,1,NA,6.83333333333333,0,0,0,0,3.14285714285714,4,NA,1,NA
"34",68636495,2013,4,"D",0,13,"British/English/Scottish/Welsh/Northern Irish","England","South West",0,1,2,NA,NA,3,1,2,NA,6,0,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,NA,NA,5.83333333333333,NA,NA,NA,NA,3,NA,3.375,3,0.6875
"35",68636495,2014,5,"E",0,14,"British/English/Scottish/Welsh/Northern Irish","England","South West",0,1,2,4,NA,1,1,2,1,10,0,2,0,4,2,6,8,"No religion",NA,NA,NA,NA,1,NA,5.66666666666667,0,0,0,0,2,4,NA,1,NA
"36",68769107,2010,1,"A",1,11,"African","England","East of England",0,7,1,5,NA,0,0,NA,1,NA,0,1,2,2,0,9,5,"Roman Catholic",NA,NA,NA,NA,NA,NA,6.66666666666667,0,0,0,0,2.57142857142857,3.75,NA,1,5
"37",68769107,2011,2,"B",1,12,"African","England","East of England",0,6,1,NA,NA,NA,0,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,NA,NA,6,NA,NA,NA,NA,2,NA,3.5,3,1.25
"38",68769107,2012,3,"C",1,13,"African","England","East of England",0,6,1,4,NA,0,1,1,1,5,0,1,3,3,1,5,8,"Other Christian",NA,NA,NA,NA,1,NA,5,1,0,0,0,2,2,NA,3,NA
"39",68769107,2013,4,"D",1,14,"African","England","East of England",0,6,1,NA,NA,NA,1,1,NA,3,0,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,NA,NA,5.33333333333333,NA,NA,NA,NA,3,NA,3.75,4,1.125
"40",68769107,2014,5,"E",1,15,"African","England","East of England",0,5,1,5,NA,NA,1,0,1,3,0,1,0,1,1,6,3,"Roman Catholic",NA,NA,NA,NA,0,NA,6,0,0,0,0,2.57142857142857,3.5,NA,2,NA
"41",68782699,2010,1,"A",0,11,"Any other White background","England","East of England",1,1,2,NA,NA,0,0,NA,1,1,0,3,2,4,5,7,14,"Roman Catholic",NA,NA,NA,NA,NA,NA,4.5,1,1,0,0,2.85714285714286,4,NA,2,2
"42",68782699,2011,2,"B",0,12,"Any other White background","England","East of England",1,1,2,NA,NA,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,NA,NA,4.66666666666667,NA,NA,NA,NA,4,NA,2.5,2,0.75
"43",68782699,2012,3,"C",0,13,"Any other White background","England","East of England",1,1,2,4,NA,NA,1,0,1,2,0,3,6,2,4,5,15,"Roman Catholic",NA,NA,NA,NA,1,NA,3.66666666666667,1,0,1,1,2.85714285714286,3.75,NA,2,NA
"44",68782699,2013,4,"D",0,14,"Any other White background","England","East of England",1,1,2,NA,NA,0,1,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,NA,NA,5.16666666666667,NA,NA,NA,NA,4,NA,2.875,2,0.333333333333333
"45",68782699,2014,5,"E",0,15,"Any other White background","England","East of England",1,1,2,3,1,2,1,0,1,2,0,3,4,2,2,7,11,"Roman Catholic",NA,NA,NA,NA,1,NA,5,0,0,0,0,2.85714285714286,3.75,NA,2,NA
"46",68964255,2010,1,"A",0,11,"Any other White background","England","London",0,2,2,4,NA,0,0,NA,1,7,0,2,1,1,0,7,4,"Roman Catholic",NA,NA,NA,NA,NA,NA,5.83333333333333,0,0,0,0,1.85714285714286,3.25,NA,2,3
"47",68964255,2011,2,"B",0,12,"Any other White background","England","London",0,2,2,NA,NA,0,1,1,NA,5,0,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,NA,NA,5.5,NA,NA,NA,NA,2,NA,3,2,1.5
"48",68964255,2012,3,"C",0,13,"Any other White background","England","London",0,2,2,3,NA,NA,1,1,1,6,0,2,1,2,1,9,6,"No religion",NA,NA,NA,NA,1,NA,5.83333333333333,0,0,0,0,2.42857142857143,3.25,NA,2,NA
"49",68964255,2013,4,"D",0,14,"Any other White background","England","London",0,2,2,NA,NA,0,1,1,NA,6,0,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,NA,NA,5.66666666666667,NA,NA,NA,NA,2,NA,3.125,2.5,2.3125
"50",68964255,2014,5,"E",0,15,"Any other White background","England","London",0,2,2,4,NA,0,1,2,1,6,0,3,4,4,2,9,13,"Christian (no denomination)",NA,NA,NA,NA,1,NA,5.33333333333333,0,0,0,0,2.71428571428571,2,NA,2,NA
"51",68970375,2010,1,"A",0,11,"British/English/Scottish/Welsh/Northern Irish","England","South East",1,1,2,4,NA,1,0,NA,1,16,1,3,1,8,2,3,14,"Church of England/Anglican",NA,NA,NA,NA,NA,NA,5.5,0,1,0,1,2.28571428571429,3.75,NA,2,4
"52",68970375,2011,2,"B",0,12,"British/English/Scottish/Welsh/Northern Irish","England","South East",1,1,2,NA,1,2,1,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,4.83333333333333,NA,NA,NA,NA,4,NA,3.375,2.5,1.93333333333333
"53",68970375,2012,3,"C",0,13,"British/English/Scottish/Welsh/Northern Irish","England","South East",1,1,2,4,5,2,1,2,1,4,0,1,4,7,0,6,12,"No religion",NA,NA,NA,NA,1,NA,5.66666666666667,0,0,1,1,2.57142857142857,3.5,NA,1,NA
"54",68970375,2013,4,"D",0,14,"British/English/Scottish/Welsh/Northern Irish","England","South East",0,1,1,NA,5,3,1,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,4,0,1,1,NA,NA,5.66666666666667,NA,NA,NA,NA,3,NA,3.875,1.5,1.9375
